"Length","Station","test","control","areatest","areacont","day","depth","samp_test","samp_cont","cpuetest","cpuecont","cpuetotal","prop","qratio","comp2"
"100","7",3,1,0.00621412067434581,0.00458035989197675,2,31.5,1,1,482.771442206636,218.323455707413,701.09489791405,0.688596427734696,1,"FV1 vs FV2"
"105","7",1,6,0.00621412067434581,0.00458035989197675,2,31.5,1,1,160.923814068879,1309.94073424448,1470.86454831336,0.109407636653837,1,"FV1 vs FV2"
"110","7",8,11,0.00621412067434581,0.00458035989197675,2,31.5,1,1,1287.39051255103,2401.55801278155,3688.94852533258,0.348985762124443,1,"FV1 vs FV2"
"115","7",11,4,0.00621412067434581,0.00458035989197675,2,31.5,1,1,1770.16195475767,873.293822829654,2643.45577758732,0.669639329610156,1,"FV1 vs FV2"
"120","7",4,3,0.00621412067434581,0.00458035989197675,2,31.5,1,1,643.695256275515,654.97036712224,1298.66562339776,0.495658963075797,1,"FV1 vs FV2"
"125","7",2,0,0.00621412067434581,0.00458035989197675,2,31.5,1,1,321.847628137758,0,321.847628137758,1,1,"FV1 vs FV2"
"95","T2",0,2,0.00748557203420609,0.00467507981955957,3,34.9,1,1,0,427.800182497936,427.800182497936,0,1,"FV1 vs FV2"
"105","T2",1,1,0.00748557203420609,0.00467507981955957,3,34.9,1,1,133.590324885045,213.900091248968,347.490416134013,0.384443192336921,1,"FV1 vs FV2"
"110","T2",0,3,0.00748557203420609,0.00467507981955957,3,34.9,1,1,0,641.700273746903,641.700273746903,0,1,"FV1 vs FV2"
"115","T2",0,6,0.00748557203420609,0.00467507981955957,3,34.9,1,1,0,1283.40054749381,1283.40054749381,0,1,"FV1 vs FV2"
"120","T2",0,7,0.00748557203420609,0.00467507981955957,3,34.9,1,1,0,1497.30063874277,1497.30063874277,0,1,"FV1 vs FV2"
"125","T2",1,7,0.00748557203420609,0.00467507981955957,3,34.9,1,1,133.590324885045,1497.30063874277,1630.89096362782,0.0819124808858352,1,"FV1 vs FV2"
"130","T2",0,2,0.00748557203420609,0.00467507981955957,3,34.9,1,1,0,427.800182497936,427.800182497936,0,1,"FV1 vs FV2"
"75","T3",1,0,0.00903160001624664,0.004786350960805,3,36.45,1,1,110.722352429374,0,110.722352429374,1,1,"FV1 vs FV2"
"95","T3",5,4,0.00903160001624664,0.004786350960805,3,36.45,1,1,553.61176214687,835.709715554845,1389.32147770171,0.398476357727286,1,"FV1 vs FV2"
"100","T3",4,3,0.00903160001624664,0.004786350960805,3,36.45,1,1,442.889409717496,626.782286666133,1069.67169638363,0.414042375071554,1,"FV1 vs FV2"
"105","T3",19,1,0.00903160001624664,0.004786350960805,3,36.45,1,1,2103.7246961581,208.927428888711,2312.65212504682,0.909658946701946,1,"FV1 vs FV2"
"110","T3",25,11,0.00903160001624664,0.004786350960805,3,36.45,1,1,2768.05881073435,2298.20171777582,5066.26052851017,0.546371193340179,1,"FV1 vs FV2"
"115","T3",36,13,0.00903160001624664,0.004786350960805,3,36.45,1,1,3986.00468745746,2716.05657555325,6702.06126301071,0.594743099329245,1,"FV1 vs FV2"
"120","T3",23,15,0.00903160001624664,0.004786350960805,3,36.45,1,1,2546.6141058756,3133.91143333067,5680.52553920627,0.448306074552291,1,"FV1 vs FV2"
"125","T3",19,2,0.00903160001624664,0.004786350960805,3,36.45,1,1,2103.7246961581,417.854857777422,2521.57955393553,0.834288449426368,1,"FV1 vs FV2"
"130","T3",5,2,0.00903160001624664,0.004786350960805,3,36.45,1,1,553.61176214687,417.854857777422,971.466619924292,0.569872140527086,1,"FV1 vs FV2"
"135","T3",1,1,0.00903160001624664,0.004786350960805,3,36.45,1,1,110.722352429374,208.927428888711,319.649781318085,0.346386448233461,1,"FV1 vs FV2"
"70","12",1,0,0.00657152698137015,0.00453073726131951,3,37.25,1,1,152.171634208447,0,152.171634208447,1,1,"FV1 vs FV2"
"85","12",1,1,0.00657152698137015,0.00453073726131951,3,37.25,1,1,152.171634208447,220.714630384187,372.886264592634,0.40809128320854,1,"FV1 vs FV2"
"90","12",4,1,0.00657152698137015,0.00453073726131951,3,37.25,1,1,608.686536833789,220.714630384187,829.401167217976,0.733886761789207,1,"FV1 vs FV2"
"95","12",30,3,0.00657152698137015,0.00453073726131951,3,37.25,1,1,4565.14902625342,662.143891152561,5227.29291740598,0.873329483995868,1,"FV1 vs FV2"
