"Length","Station","test","control","areatest","areacont","day","depth","samp_test","samp_cont","cpuetest","cpuecont","cpuetotal","prop","qratio","comp2","cpuetotalN","sl","septh","res"
95,"24",2,2,0.00585137910923404,0.00486817206534543,2,45.6,1,1,341.799764237427,410.831822120093,752.63158635752,0.454139542417587,1,"FV1 vs FV2",75.263158635752,-1.05418938773072,1.07054237969213,0.869139474115203
100,"24",0,3,0.00585137910923404,0.00486817206534543,2,45.6,1,1,0,616.24773318014,616.24773318014,0,1,"FV1 vs FV2",61.624773318014,-0.776386359063818,1.07054237969213,-7.98235794043175
105,"24",4,9,0.00585137910923404,0.00486817206534543,2,45.6,1,1,683.599528474854,1848.74319954042,2532.34272801527,0.269947476268596,1,"FV1 vs FV2",253.234272801527,-0.498583330396915,1.07054237969213,-4.37690500439847
110,"24",4,12,0.00585137910923404,0.00486817206534543,2,45.6,1,1,683.599528474854,2464.99093272056,3148.59046119541,0.217112875396095,1,"FV1 vs FV2",314.859046119541,-0.220780301730012,1.07054237969213,-6.77215831386783
115,"24",3,12,0.00585137910923404,0.00486817206534543,2,45.6,1,1,512.699646356141,2464.99093272056,2977.6905790767,0.172180296354067,1,"FV1 vs FV2",297.76905790767,0.0570227269368907,1.07054237969213,-8.06590320422176
120,"24",3,12,0.00585137910923404,0.00486817206534543,2,45.6,1,1,512.699646356141,2464.99093272056,2977.6905790767,0.172180296354067,1,"FV1 vs FV2",297.76905790767,0.334825755603794,1.07054237969213,-7.56682870127473
125,"24",3,5,0.00585137910923404,0.00486817206534543,2,45.6,1,1,512.699646356141,1027.07955530023,1539.77920165637,0.332969587980289,1,"FV1 vs FV2",153.977920165637,0.612628784270697,1.07054237969213,-0.458565234973234
130,"24",0,8,0.00585137910923404,0.00486817206534543,2,45.6,1,1,0,1643.32728848037,1643.32728848037,0,1,"FV1 vs FV2",164.332728848037,0.8904318129376,1.07054237969213,-11.2911128057961
135,"24",0,2,0.00585137910923404,0.00486817206534543,2,45.6,1,1,0,410.831822120093,410.831822120093,0,1,"FV1 vs FV2",41.0831822120093,1.1682348416045,1.07054237969213,-5.25040210800728
140,"24",0,3,0.00585137910923404,0.00486817206534543,2,45.6,1,1,0,616.24773318014,616.24773318014,0,1,"FV1 vs FV2",61.624773318014,1.44603787027141,1.07054237969213,-5.8439556290174
